rep,R,generation,r_rate
16,0.1,112500,1.6460917005178187e-07
16,0.1,80000,1.626014632324489e-06
28,10.0,110000,2.4107089768941925e-05
17,10.0,92500,1.899825465044726e-05
17,1.0,90000,1.374573346197834e-06
15,10.0,90000,1.8626324748532408e-05
18,1.0,115000,1.6759744752623231e-06
22,0.1,107500,1.1961708031246077e-07
13,1.0,105000,1.9073567611315856e-06
20,10.0,112500,1.949459623747352e-05
19,10.0,97500,1.9713267825327924e-05
30,0.1,122500,9.233608736521707e-08
20,1.0,110000,1.7543853127442558e-06
22,0.1,135000,1.824820306356987e-07
13,10.0,140000,1.5089954503805963e-05
19,10.0,107500,2.051283812010189e-05
17,1.0,107500,1.6025559660351824e-06
18,0.1,130000,1.7528430481932921e-07
23,1.0,137500,1.8675582432460541e-06
1,10.0,102500,1.984124245966909e-05
15,1.0,122500,1.161291659103858e-06
6,1.0,137500,1.4792901562476833e-06
10,0.1,110000,1.4044889757403805e-07
10,10.0,112500,1.8055555980535217e-05
22,1.0,95000,1.7241455647648886e-06
29,0.1,87500,1.2690360095569858e-07
25,0.1,110000,8.15314757009902e-21
26,1.0,127500,1.2905884094808875e-06
4,0.1,102500,1.126125983700794e-07
30,10.0,117500,2.024388092512097e-05
14,0.1,130000,1.406470964759041e-07
3,0.1,107500,2.0533894053742875e-07
27,1.0,130000,1.93452047229354e-06
23,0.1,117500,2.0833281516011086e-07
11,0.1,112500,1.1235952986204949e-07
22,1.0,107500,2.1796893158282817e-06
27,10.0,115000,2.100596394625426e-05
1,1.0,92500,9.478656718790087e-07
21,1.0,102500,1.5169221295215014e-06
8,1.0,127500,1.517240785549447e-06
1,1.0,115000,1.6949135144289974e-06
28,10.0,137500,1.7741958537803223e-05
7,10.0,85000,2.2033930410445954e-05
24,10.0,112500,2.0588218336018915e-05
10,1.0,80000,2.105262707629676e-06
16,10.0,117500,2.0000036985453e-05
17,0.1,132500,1.6000038210118286e-07
26,1.0,132500,1.1869416850108985e-06
27,10.0,107500,2.233009903149835e-05
29,0.1,95000,8.818331209419189e-08
10,1.0,95000,1.9403071024848925e-06
17,1.0,137500,1.1450365464067457e-06
12,1.0,112500,2.065400566599536e-06
9,1.0,125000,1.5132407796115927e-06
8,0.1,127500,8.221792928818536e-21
23,1.0,115000,1.7741966644529115e-06
29,0.1,107500,2.4813854156981706e-07
8,1.0,95000,1.799099184597277e-06
23,0.1,85000,1.98019457389568e-07
12,10.0,122500,2.0599262556955202e-05
14,1.0,97500,1.5873094546462891e-06
26,0.1,102500,2.1186440123422602e-07
16,10.0,137500,2.0143795420046737e-05
17,10.0,90000,1.4285713350922193e-05
2,1.0,112500,1.735019594374962e-06
24,0.1,97500,8.014593825549547e-21
18,1.0,82500,1.2500018492599323e-06
1,10.0,140000,2.608697607936128e-05
24,0.1,80000,1.6574547756058564e-06
7,10.0,115000,2.222219849971422e-05
23,0.1,122500,1.270648463663148e-07
10,1.0,110000,1.877929652124223e-06
28,10.0,122500,2.2314039409322604e-05
28,1.0,137500,1.948046219662353e-06
2,1.0,125000,2.5597311332407954e-06
17,10.0,117500,2.083334105148323e-05
14,0.1,120000,2.386635267525831e-07
19,0.1,85000,7.754816304881261e-21
14,0.1,122500,2.123143498632102e-07
10,1.0,115000,1.467890378053246e-06
16,1.0,115000,1.608574638991046e-06
19,0.1,135000,1.5337423357095262e-07
29,1.0,105000,1.615604030296168e-06
16,1.0,107500,1.6583744999174328e-06
26,10.0,82500,2.052782839909811e-05
5,10.0,105000,2.1067415306074853e-05
13,0.1,105000,1.0330547243907717e-07
8,0.1,117500,1.806142526142506e-07
22,0.1,122500,2.652521946227628e-07
19,0.1,80000,1.3651900626579051e-06
23,10.0,102500,2.5806536146966135e-05
18,0.1,117500,8.403353342185085e-08
24,10.0,117500,1.9354831666699346e-05
11,1.0,130000,1.8181798877093287e-06
20,0.1,102500,6.545129315281593e-22
6,0.1,107500,2.008030007512117e-07
8,1.0,110000,1.8666624491191323e-06
23,0.1,140000,1.8587368811763392e-07
6,10.0,87500,2.3961642813570558e-05
12,0.1,82500,3.636369060840484e-07
13,10.0,112500,2.0354011150350593e-05
20,1.0,132500,2.040813181976074e-06
21,1.0,110000,1.7441869381175714e-06
4,1.0,100000,1.2322302752033051e-06
30,10.0,80000,1.3605474830719895e-06
23,1.0,100000,1.3586941219207428e-06
21,0.1,97500,1.0548523146926447e-07
16,0.1,132500,1.3106161844754725e-07
3,10.0,102500,2.305295896089608e-05
4,1.0,90000,2.1260195234779924e-06
18,1.0,140000,1.538466103871072e-06
28,10.0,117500,2.026435036313213e-05
8,0.1,80000,1.6129074690545228e-06
30,0.1,115000,1.0660965429348474e-07
8,0.1,110000,1.1834272459144235e-07
24,0.1,115000,1.248438131543966e-07
21,10.0,112500,1.5748041930986416e-05
8,10.0,120000,1.7901240730069054e-05
3,1.0,92500,1.2546075463734326e-06
21,1.0,132500,1.504429562980558e-06
29,10.0,105000,2.0814434965269746e-05
25,10.0,117500,2.1854341994394123e-05
23,10.0,97500,1.879697976035033e-05
15,1.0,100000,1.0582021543957775e-06
13,10.0,97500,2.5000001968490933e-05
16,0.1,90000,2.0263459960990085e-07
22,10.0,122500,1.6949197674733244e-05
19,10.0,90000,2.083333628795636e-05
7,1.0,82500,1.9704409208765254e-06
19,0.1,102500,7.53578686967312e-08
3,1.0,132500,1.8248185663475525e-06
10,1.0,135000,1.4884978593297599e-06
14,1.0,137500,1.4869931232372023e-06
9,10.0,130000,2.07317394712723e-05
24,1.0,125000,2.294455255645329e-06
12,0.1,137500,7.633584118004209e-08
23,0.1,115000,1.6233769436272228e-07
12,10.0,97500,1.8679950564350935e-05
10,10.0,92500,2.188939488470814e-05
25,1.0,122500,1.3745716759717456e-06
17,0.1,90000,1.5220718866726553e-07
23,10.0,100000,1.4655134108873542e-05
6,1.0,80000,1.0920414994240734e-06
11,10.0,80000,1.5317279968619676e-06
28,10.0,85000,1.9544007283899986e-05
11,0.1,107500,1.4409233915878078e-07
11,0.1,125000,1.51515359377013e-07
20,1.0,137500,1.569503249977607e-06
6,10.0,82500,1.5160386320542996e-05
6,1.0,105000,1.0416675708099871e-06
8,1.0,112500,1.697536473498001e-06
12,0.1,97500,1.633981343879179e-07
29,1.0,107500,2.2788227219515338e-06
28,0.1,130000,1.2077287881378786e-07
12,10.0,90000,2.1951209195070934e-05
16,10.0,102500,2.163832984151592e-05
26,0.1,87500,1.445088136131569e-07
19,1.0,115000,1.4173223199248422e-06
28,0.1,80000,2.1413520524584956e-06
12,0.1,115000,1.424499459196839e-07
12,0.1,107500,3.558718131126763e-07
28,0.1,90000,2.5884419647877937e-07
12,1.0,140000,1.7806911658074877e-06
17,1.0,100000,1.543206070754442e-06
10,10.0,125000,1.545980700538862e-05
23,1.0,107500,1.5503907854165928e-06
3,10.0,132500,1.7374516979371764e-05
4,1.0,97500,1.19521699145301e-06
15,1.0,82500,1.6853899103550504e-06
8,0.1,92500,9.541473942722155e-19
20,10.0,82500,1.7611015569936492e-05
1,1.0,95000,1.1385175438439076e-06
2,0.1,92500,8.110316676937674e-08
23,1.0,120000,2.0408121859137843e-06
11,10.0,112500,2.3660685634509017e-05
12,1.0,82500,1.2288789358898354e-06
24,10.0,80000,1.3888880655832791e-06
25,1.0,95000,1.2898808130097677e-06
26,10.0,80000,1.3495227538211805e-06
19,0.1,117500,1.7035732846095352e-07
3,0.1,127500,1.1286701258228747e-07
9,1.0,82500,1.9035503603892944e-06
9,1.0,132500,1.6778491638265428e-06
29,0.1,132500,1.4577246603195613e-07
26,0.1,90000,7.208196669736713e-21
2,0.1,80000,1.478742110640782e-06
20,1.0,80000,1.923080612513418e-06
9,10.0,80000,1.3333319532380681e-06
24,10.0,127500,2.2020778488363325e-05
2,10.0,100000,2.2978645448848922e-05
21,0.1,102500,7.805241743436853e-21
26,1.0,135000,1.8656718278885466e-06
8,0.1,90000,1.1990335753610537e-07
6,10.0,80000,1.3157897113250396e-06
22,10.0,130000,2.2727286388245747e-05
28,0.1,127500,1.763671394829806e-07
13,10.0,137500,1.766300424312781e-05
8,0.1,82500,3.7267037256252426e-07
16,0.1,85000,1.6447350193559578e-07
14,0.1,90000,1.6013972298293017e-07
20,1.0,112500,1.4934754709281162e-06
24,1.0,107500,1.3953484652186789e-06
24,0.1,82500,3.7080116944193935e-07
10,1.0,105000,1.6501685432213446e-06
1,10.0,120000,2.0879085692081924e-05
27,0.1,105000,2.2421527307626612e-07
7,1.0,122500,1.838231236029223e-06
29,10.0,117500,1.818171514830556e-05
19,10.0,82500,1.5555563709176715e-05
20,0.1,90000,2.475245624396481e-07
1,10.0,92500,2.3913036620542264e-05
12,10.0,135000,2.031250317816749e-05
12,1.0,115000,1.2195117711173405e-06
1,10.0,82500,1.573502375148099e-05
5,0.1,115000,6.497727319263264e-08
28,1.0,87500,1.3043487278420602e-06
24,1.0,130000,1.3986033138090809e-06
5,10.0,127500,2.290637733573988e-05
12,0.1,80000,1.3774117357868964e-06
19,0.1,110000,2.1097049092346438e-07
16,1.0,100000,1.075271614336171e-06
26,10.0,125000,2.383417604929178e-05
30,10.0,112500,2.0992429783082853e-05
6,1.0,127500,1.7187532325980128e-06
16,10.0,80000,2.1390457174363197e-06
30,1.0,110000,1.4535073676361045e-06
4,10.0,130000,2.052629121452025e-05
4,1.0,80000,1.5898276434438336e-06
12,10.0,127500,2.717395656992163e-05
19,10.0,137500,1.739132710413659e-05
18,10.0,117500,1.9076966352220844e-05
30,0.1,117500,1.0416635095349577e-07
30,0.1,95000,1.706481406793724e-07
4,1.0,122500,1.685390985568844e-06
16,10.0,125000,2.1818132855399747e-05
15,0.1,112500,9.225082275727234e-08
22,0.1,92500,4.204429869123997e-21
16,10.0,105000,1.9786964918352044e-05
25,1.0,140000,1.664687842523725e-06
17,0.1,130000,9.398545940790252e-08
9,0.1,80000,9.508714969113847e-07
20,0.1,117500,1.1890582646996205e-07
14,0.1,92500,1.0515226678468133e-07
20,10.0,102500,1.8777317771810296e-05
16,10.0,100000,2.425372863777948e-05
30,1.0,120000,2.0380385266478214e-06
3,0.1,125000,8.247316214122287e-21
29,10.0,90000,1.7491763720902897e-05
26,1.0,102500,1.7647130986772982e-06
4,10.0,137500,1.818182515836897e-05
2,0.1,115000,2.125404806241713e-07
17,1.0,92500,1.5647207188236834e-06
19,1.0,110000,1.607653015449411e-06
26,0.1,100000,9.784725931477305e-08
27,10.0,82500,1.5454526481145055e-05
29,0.1,102500,7.600147733701201e-21
2,0.1,85000,1.247447762290208e-07
13,1.0,127500,1.5393918458850685e-06
24,0.1,87500,8.59106332687064e-08
13,1.0,100000,1.6616243846580157e-06
15,10.0,110000,2.2222270652247923e-05
9,1.0,100000,1.5233930062053665e-06
12,10.0,110000,1.916367686391753e-05
6,1.0,117500,1.63934492904231e-06
28,1.0,130000,1.7315994691327999e-06
25,1.0,100000,1.496557325188727e-06
20,0.1,132500,9.803936213011221e-08
6,0.1,122500,2.0618567198524026e-07
25,0.1,122500,1.7667827894480137e-07
28,10.0,135000,1.9211751738359268e-05
20,10.0,90000,1.6666696348418295e-05
12,10.0,92500,2.483658962238428e-05
10,0.1,85000,8.503377285384976e-08
30,10.0,87500,1.774197302629483e-05
22,0.1,87500,1.956946292211995e-07
5,1.0,122500,1.351352562597097e-06
3,0.1,100000,7.984855377781727e-21
6,1.0,122500,1.6910864929241611e-06
6,1.0,85000,1.4492767597670353e-06
13,10.0,92500,2.1962621551007763e-05
11,10.0,122500,2.4427471203104223e-05
24,0.1,110000,2.314813297384535e-07
9,0.1,85000,1.5408256376695558e-07
7,0.1,97500,1.3586947206887688e-07
6,10.0,132500,1.7015688511264876e-05
2,1.0,140000,1.3605462094518357e-06
5,1.0,82500,2.2624418410081715e-06
6,0.1,82500,3.179638684354489e-07
3,10.0,107500,1.5584402104833597e-05
30,10.0,100000,2.5786176742261292e-05
30,1.0,132500,1.1600926230960228e-06
14,1.0,87500,1.385039888371104e-06
29,10.0,135000,2.033898259490608e-05
26,1.0,137500,1.6826914979336249e-06
9,10.0,95000,2.451252813123852e-05
3,1.0,125000,2.234637488553391e-06
19,10.0,130000,2.1787701162402187e-05
12,1.0,80000,1.098902019231911e-06
27,1.0,90000,2.083334401321398e-06
20,10.0,120000,1.887972743368125e-05
25,10.0,132500,2.156867141049077e-05
10,0.1,92500,1.089324731655825e-07
1,0.1,140000,1.9417460148269338e-07
27,1.0,80000,1.6393431499880117e-06
20,1.0,117500,1.3944271809629573e-06
9,10.0,115000,2.0833336786666926e-05
19,0.1,95000,8.736929211485319e-21
27,1.0,102500,1.6528909740919132e-06
11,10.0,125000,2.0547944782053174e-05
17,0.1,85000,2.3980803209481415e-07
28,10.0,80000,1.3089555864130833e-06
14,10.0,82500,1.650482350020238e-05
8,0.1,132500,1.4749233818079798e-07
27,0.1,95000,2.682779577903888e-07
17,0.1,95000,4.469823194058514e-20
30,10.0,110000,2.1696232408319583e-05
2,0.1,137500,1.1600941508587416e-07
20,10.0,85000,2.0348837153319088e-05
8,0.1,105000,1.3869594206593925e-07
10,10.0,107500,2.1069717381611364e-05
6,0.1,117500,2.0408143119545247e-07
27,0.1,132500,8.928582162403525e-08
24,0.1,95000,8.532389226600332e-08
19,1.0,102500,1.6975269405491725e-06
12,1.0,85000,1.1990385033531427e-06
5,1.0,105000,1.1695858769765064e-06
24,10.0,97500,2.1698079719068147e-05
20,0.1,82500,2.4875681632145457e-07
12,10.0,82500,1.717791532152584e-05
6,10.0,107500,2.000003860841115e-05
22,10.0,92500,2.0512826740239425e-05
17,1.0,80000,1.7740385848010995e-06
16,1.0,140000,1.898742852938088e-06
25,10.0,97500,1.871920619667464e-05
6,0.1,127500,1.886790198592075e-07
5,1.0,95000,1.4925381640223503e-06
3,1.0,82500,1.6786553687660956e-06
16,1.0,127500,1.1677236614898023e-06
2,0.1,120000,8.826143694490443e-08
16,0.1,122500,1.3605484746912585e-07
15,0.1,80000,1.3513530032600016e-06
18,10.0,122500,2.1495292652913215e-05
14,1.0,135000,1.1994525215879668e-06
23,10.0,82500,2.316710442933093e-05
1,0.1,117500,1.677178221175963e-07
2,1.0,130000,1.117316699754202e-06
17,0.1,107500,6.2997736647069735e-22
18,0.1,137500,1.3262604636072104e-07
9,10.0,100000,2.240797111869879e-05
2,10.0,112500,1.666665269194761e-05
26,0.1,127500,1.3071840720086506e-07
18,10.0,120000,2.549022009036328e-05
23,1.0,90000,1.092890164145441e-06
17,1.0,115000,1.8041253441250367e-06
24,0.1,135000,2.1052609644921608e-07
14,0.1,115000,1.4144282388570887e-07
30,1.0,135000,2.173919632096749e-06
23,10.0,122500,1.822220286523569e-05
8,1.0,100000,1.1695905388970187e-06
11,10.0,135000,2.2486750594464022e-05
19,10.0,95000,2.4736825466942466e-05
9,10.0,92500,2.5233626274151862e-05
20,0.1,127500,6.6394866004906454e-21
30,1.0,117500,2.02157004474223e-06
16,10.0,130000,2.0064668636712963e-05
18,1.0,112500,1.5801344948337368e-06
20,1.0,85000,1.4388504727431736e-06
18,0.1,80000,2.1413331102419933e-06
11,0.1,105000,2.3696717852511463e-07
17,0.1,140000,1.6207473179843833e-07
7,0.1,112500,1.45348699632483e-07
8,1.0,122500,1.075265514300738e-06
6,0.1,85000,1.287006159417555e-07
3,0.1,122500,1.0183307055870461e-07
11,1.0,135000,1.7666848692555552e-06
28,0.1,82500,2.824853338193783e-07
11,10.0,117500,1.6091965775785034e-05
21,0.1,115000,1.7482526379155666e-07
12,0.1,117500,2.3041456264671817e-07
26,1.0,95000,1.5936249548568341e-06
15,10.0,140000,1.6352215579987457e-05
16,0.1,137500,7.241147605395366e-08
7,0.1,85000,1.273886239161099e-07
27,10.0,100000,2.0858956222439537e-05
18,1.0,100000,1.3289029154243866e-06
5,0.1,80000,1.5463909532206868e-06
16,10.0,140000,2.295081939169449e-05
11,0.1,102500,1.939859600532011e-07
19,1.0,122500,1.7587928601518615e-06
26,0.1,107500,1.3605442469370284e-07
12,1.0,130000,1.4998909421203286e-06
4,10.0,135000,2.413278217601532e-05
4,0.1,105000,1.4144275147313773e-07
29,1.0,102500,1.282053697613092e-06
19,10.0,127500,1.7628148802285043e-05
6,1.0,110000,1.1926611927339484e-06
8,0.1,97500,1.9398659045637616e-07
23,10.0,117500,1.8727915179622584e-05
19,0.1,92500,5.24383622410796e-08
19,1.0,130000,1.0582031947900414e-06
2,1.0,127500,1.5717110455155795e-06
3,1.0,85000,1.559018140643903e-06
5,1.0,135000,1.8348612330451031e-06
13,0.1,85000,2.5316419071959666e-07
7,0.1,127500,1.8115959690207167e-07
20,1.0,97500,1.7543868008699717e-06
6,1.0,112500,1.5705876913834077e-06
21,1.0,87500,1.2499965498705266e-06
4,0.1,97500,1.901139430020967e-07
7,0.1,132500,8.51788675247756e-08
22,1.0,82500,9.910787010913858e-07
1,1.0,140000,1.6348755970663173e-06
17,1.0,82500,1.5923529913605004e-06
1,1.0,120000,1.2578646240445339e-06
28,1.0,105000,1.8445282660804602e-06
30,10.0,102500,1.850220858914036e-05
4,10.0,90000,2.222222590058713e-05
4,1.0,85000,1.5625044962658687e-06
27,0.1,135000,1.4084507750955774e-07
15,0.1,127500,1.614206044715867e-07
29,10.0,125000,1.7647039561945736e-05
4,0.1,107500,9.765626354154885e-08
7,1.0,80000,1.9417464395794883e-06
28,10.0,125000,2.07407323051207e-05
3,0.1,120000,1.5082963982628146e-07
29,1.0,122500,1.1235940155420616e-06
30,1.0,122500,1.6293264984746826e-06
7,10.0,87500,2.2500000590433177e-05
29,0.1,112500,3.039525084131404e-07
21,10.0,90000,1.788618421562228e-05
12,0.1,102500,9.940352714678765e-08
19,10.0,117500,2.4867734311682933e-05
12,10.0,102500,2.2180451081939885e-05
20,1.0,102500,2.1858018116858847e-06
25,0.1,92500,1.2578754725708518e-07
15,0.1,132500,1.0615673478580139e-07
5,1.0,115000,1.7761988259961128e-06
9,10.0,110000,2.6936001003201368e-05
22,1.0,112500,1.7241354049986138e-06
13,1.0,90000,1.4018690936455946e-06
10,1.0,137500,1.8469621242235918e-06
25,0.1,125000,2.0576160494868916e-07
14,1.0,127500,1.2251149490233686e-06
26,10.0,100000,1.9999975001396005e-05
22,1.0,87500,2.393785530775502e-06
15,1.0,132500,1.218964395831989e-06
14,0.1,102500,1.2121223891915164e-07
25,0.1,117500,6.317139113600946e-08
23,0.1,120000,1.61680702309348e-07
13,1.0,132500,1.2315247302204972e-06
2,10.0,97500,2.236845552182384e-05
2,0.1,125000,6.326904407646513e-21
26,1.0,125000,1.4634137128169804e-06
9,0.1,137500,1.6638898235586994e-07
13,1.0,102500,1.3293944227482518e-06
13,1.0,140000,7.751491947590865e-07
5,10.0,112500,1.724137066243349e-05
27,10.0,140000,2.3529364658153606e-05
10,0.1,122500,1.4471792171500128e-07
17,0.1,110000,1.3333332079425598e-07
24,10.0,102500,1.7968796068983456e-05
23,1.0,117500,1.5376920923153783e-06
27,0.1,120000,1.6310592488508835e-21
7,0.1,135000,8.340634784855034e-21
12,0.1,95000,1.0204063129278412e-07
12,10.0,140000,2.2008235151232372e-05
20,10.0,95000,1.9390581698959247e-05
16,10.0,92500,1.995191771076724e-05
8,10.0,95000,1.9929654446400052e-05
19,0.1,105000,1.8450189138726304e-07
29,0.1,97500,1.308044322939123e-07
6,10.0,127500,2.456134499562492e-05
5,0.1,132500,1.7985555687247975e-07
4,10.0,127500,2.0060764002582784e-05
15,10.0,97500,2.0527885475868872e-05
16,0.1,82500,2.724788294941418e-07
6,1.0,130000,1.3129136131755375e-06
3,1.0,95000,2.4539882634825454e-06
18,10.0,110000,2.1463406148401404e-05
10,10.0,122500,2.0491847851363672e-05
1,1.0,85000,1.322751184816228e-06
4,0.1,130000,8.716295083875563e-21
22,0.1,137500,1.4064771890871154e-07
22,0.1,95000,6.494904600767554e-21
17,10.0,97500,1.5853703653869745e-05
18,1.0,110000,1.290319818272914e-06
5,10.0,117500,2.4689703734539657e-05
21,0.1,110000,2.0703926847429768e-07
1,1.0,100000,1.1200005856076036e-06
1,1.0,125000,1.4802648251448808e-06
24,1.0,105000,1.5923612003967103e-06
25,1.0,97500,1.0822510308914848e-06
21,10.0,140000,1.7647104174476217e-05
15,0.1,97500,7.782100538585229e-08
1,0.1,137500,8.212582903765214e-21
16,0.1,110000,2.659572924920728e-07
10,0.1,112500,1.7513227644828017e-07
27,0.1,102500,1.0928946548362828e-07
5,1.0,110000,1.6123459837532554e-06
6,10.0,125000,1.864407416189681e-05
22,0.1,85000,1.6977882569197907e-07
20,1.0,92500,1.4087758082425725e-06
22,0.1,127500,1.9704371101255058e-07
1,1.0,112500,1.8101546291822505e-06
28,10.0,112500,2.169982183074532e-05
6,10.0,85000,1.7213114616201884e-05
7,10.0,92500,1.992753921149468e-05
28,10.0,102500,2.1879036321422068e-05
25,0.1,137500,1.2406945804823804e-07
10,10.0,102500,2.145920168748841e-05
22,10.0,80000,1.500003485654993e-06
2,0.1,107500,1.7467236753892204e-07
10,10.0,95000,2.879999952906702e-05
11,10.0,115000,2.196533019725582e-05
5,1.0,137500,1.2195088992841915e-06
6,0.1,135000,1.1467910498165999e-07
3,0.1,137500,9.389670948667713e-08
28,10.0,97500,1.8390800055897354e-05
20,0.1,87500,9.843161043808824e-21
5,10.0,87500,2.2448953150326647e-05
13,10.0,115000,2.018635414844077e-05
13,1.0,110000,1.7064803009327398e-06
25,10.0,85000,2.307693199714107e-05
14,10.0,80000,2.23048090223866e-06
26,10.0,127500,2.370687359975238e-05
24,10.0,82500,1.5825322765734633e-05
28,1.0,112500,1.8469700205408199e-06
18,0.1,115000,2.1645051530099567e-07
12,10.0,132500,2.1052672170886498e-05
5,1.0,140000,1.4482581192856144e-06
7,10.0,132500,2.4999988866279963e-05
4,10.0,92500,1.541092173840741e-05
4,0.1,120000,2.1645019292834347e-07
17,10.0,110000,2.6570181838507652e-05
29,1.0,115000,1.3651848286906428e-06
27,10.0,85000,1.6772793849994114e-05
23,0.1,127500,1.4947656363122207e-07
4,10.0,95000,1.7647064930914932e-05
7,1.0,112500,1.4100146218557934e-06
1,0.1,132500,8.268980831808125e-21
3,1.0,135000,1.960784801584014e-06
22,10.0,90000,1.504177730029159e-05
13,0.1,127500,1.7152680017362088e-07
13,0.1,132500,6.9450470028235175e-19
10,0.1,132500,1.739130344088699e-07
25,10.0,105000,1.6539970385092913e-05
15,10.0,135000,2.222219211710509e-05
22,0.1,130000,1.1695893334788354e-07
18,1.0,135000,1.7307717801248234e-06
29,1.0,97500,1.908397631259025e-06
12,10.0,115000,2.3270438862778748e-05
14,1.0,122500,1.4388459013265205e-06
25,1.0,90000,1.633984561502268e-06
16,0.1,120000,6.267602984040315e-22
27,10.0,132500,2.2222206685176944e-05
26,1.0,122500,1.7186296696971144e-06
27,1.0,140000,1.6949165251827886e-06
28,10.0,82500,2.5471773630748012e-05
14,0.1,87500,9.578544269548476e-08
4,10.0,115000,2.5821528765599925e-05
30,10.0,122500,2.601625946792748e-05
